Year,Month,Week,Person Start,Location,Latitude,Longitude,,,,,,
1992,January,1,Miguel,,,,,,,,,
1992,January,2,,,,,,,,,,
1992,January,3,,,,,,,,Places:,Latitude,Longitude
1992,February,4,,,,,,,,Buffalo,42.8864,-78.8784
1992,February,5,,,,,,,,New York City,40.7128,-74.006
1992,February,6,,,,,,,,England,51.5074,-0.1278
1992,February,7,,,,,,,,France,48.8566,2.3522
1992,March,8,,,,,,,,Ireland,53.3498,-6.2603
1992,March,9,,,,,,,,Dominican Republic,18.5601,-68.3725
1992,March,10,,,,,,,,Portugal,38.7223,-9.1393
1992,March,11,,,,,,,,China,39.9042,116.4074
1992,March,12,,,,,,,,Vegas,36.1699,-115.1398
1992,April,13,,,,,,,,Florida,28.5383,-81.3792
1992,April,14,,,,,,,,California,34.0522,-118.2437
1992,April,15,,,,,,,,Morocco,31.7917,-7.0926
1992,April,16,,,,,,,,Cyprus,35.1264,33.4299
1992,May,17,,,,,,,,Mallorca,39.6953,3.0176
1992,May,18,,,,,,,,Tenerife,28.2916,-16.6291
1992,May,19,,,,,,,,Puerto Rico,18.2208,-66.5901
1992,May,20,,,,,,,,Kentucky,37.8393,-84.27
1992,May,21,,,,,,,,North Carolina,35.7596,-79.0193
1992,June,22,,,,,,,,Spain,40.4168,-3.7038
1992,June,23,,,,,,,,Massachusetts,42.3601,-71.0589
1992,June,24,,,,,,,,Pennsylvania,41.2033,-77.1945
1992,June,25,,,,,,,,Greece,37.9838,23.7275
1992,July,26,,,,,,,,Italy,41.9028,12.4964
1992,July,27,,,,,,,,Missourri,38.627,-90.1994
1992,July,28,,,,,,,,Wisconsin,43.0389,-87.9065
1992,July,29,,,,,,,,Montreal,45.5017,-73.5673
1992,August,30,,,,,,,,,,
1992,August,31,,,,,,,,,,
1992,August,32,,,,,,,,,,
1992,August,33,,,,,,,,,,
1992,August,34,,,,,,,,,,
1992,September,35,,,,,,,,,,
1992,September,36,,,,,,,,,,
1992,September,37,,,,,,,,,,
1992,September,38,,,,,,,,,,
1992,October,39,,,,,,,,,,
1992,October,40,,,,,,,,,,
1992,October,41,,,,,,,,,,
1992,October,42,,,,,,,,,,
1992,November,43,,,,,,,,,,
1992,November,44,,,,,,,,,,
1992,November,45,,,,,,,,,,
1992,November,46,,,,,,,,,,
1992,November,47,,,,,,,,,,
1992,December,48,,,,,,,,,,
1992,December,49,,,,,,,,,,
1992,December,50,,,,,,,,,,
1992,December,51,,,,,,,,,,
1993,January,52,,,,,,,,,,
1993,January,53,,,,,,,,,,
1993,January,54,,,,,,,,,,
1993,January,55,,,,,,,,,,
1993,January,56,,,,,,,,,,
1993,February,57,,,,,,,,,,
1993,February,58,,,,,,,,,,
1993,February,59,,,,,,,,,,
1993,February,60,,,,,,,,,,
1993,March,61,,,,,,,,,,
1993,March,62,,,,,,,,,,
1993,March,63,,,,,,,,,,
1993,March,64,,,,,,,,,,
1993,April,65,,,,,,,,,,
1993,April,66,,,,,,,,,,
1993,April,67,,,,,,,,,,
1993,April,68,,,,,,,,,,
1993,May,69,,,,,,,,,,
1993,May,70,,,,,,,,,,
1993,May,71,,,,,,,,,,
1993,May,72,,,,,,,,,,
1993,May,73,,,,,,,,,,
1993,June,74,,,,,,,,,,
1993,June,75,,,,,,,,,,
1993,June,76,,,,,,,,,,
1993,June,77,,,,,,,,,,
1993,July,78,,,,,,,,,,
1993,July,79,,,,,,,,,,
1993,July,80,,,,,,,,,,
1993,July,81,,,,,,,,,,
1993,Augusy,82,,,,,,,,,,
1993,Augusy,83,,,,,,,,,,
1993,Augusy,84,,,,,,,,,,
1993,Augusy,85,,,,,,,,,,
1993,Augusy,86,,,,,,,,,,
1993,September,87,,,,,,,,,,
1993,September,88,,,,,,,,,,
1993,September,89,,,,,,,,,,
1993,September,90,,,,,,,,,,
1993,October,91,,,,,,,,,,
1993,October,92,,,,,,,,,,
1993,October,93,,,,,,,,,,
1993,October,94,,,,,,,,,,
1993,October,95,,,,,,,,,,
1993,November,96,,,,,,,,,,
1993,November,97,,,,,,,,,,
1993,November,98,,,,,,,,,,
1993,November,99,,,,,,,,,,
1993,December,100,,,,,,,,,,
1993,December,101,,,,,,,,,,
1993,December,102,,,,,,,,,,
1993,December,103,,,,,,,,,,
1994,January,104,,,,,,,,,,
1994,January,105,,,,,,,,,,
1994,January,106,,,,,,,,,,
1994,January,107,,,,,,,,,,
1994,January,108,,,,,,,,,,
1994,February,109,,,,,,,,,,
1994,February,110,,,,,,,,,,
1994,February,111,,,,,,,,,,
1994,February,112,,,,,,,,,,
1994,March,113,,,,,,,,,,
1994,March,114,,,,,,,,,,
1994,March,115,,,,,,,,,,
1994,March,116,,,,,,,,,,
1994,April,117,,,,,,,,,,
1994,April,118,,,,,,,,,,
1994,April,119,,,,,,,,,,
1994,April,120,,,,,,,,,,
1994,May,121,,,,,,,,,,
1994,May,122,,,,,,,,,,
1994,May,123,,,,,,,,,,
1994,May,124,,,,,,,,,,
1994,May,125,,,,,,,,,,
1994,June,126,,,,,,,,,,
1994,June,127,,,,,,,,,,
1994,June,128,,,,,,,,,,
1994,June,129,,,,,,,,,,
1994,July,130,,,,,,,,,,
1994,July,131,,,,,,,,,,
1994,July,132,,,,,,,,,,
1994,July,133,,,,,,,,,,
1994,July,134,,,,,,,,,,
1994,August,135,,,,,,,,,,
1994,August,136,,,,,,,,,,
1994,August,137,,,,,,,,,,
1994,August,138,,,,,,,,,,
1994,September,139,,,,,,,,,,
1994,September,140,,,,,,,,,,
1994,September,141,,,,,,,,,,
1994,September,142,,,,,,,,,,
1994,October,143,,,,,,,,,,
1994,October,144,,,,,,,,,,
1994,October,145,,,,,,,,,,
1994,October,146,,,,,,,,,,
1994,October,147,,,,,,,,,,
1994,November,148,,,,,,,,,,
1994,November,149,,,,,,,,,,
1994,November,150,,,,,,,,,,
1994,November,151,,,,,,,,,,
1994,December,152,,,,,,,,,,
1994,December,153,,,,,,,,,,
1994,December,154,,,,,,,,,,
1994,December,155,,,,,,,,,,
1995,January,156,,,,,,,,,,
1995,January,157,,,,,,,,,,
1995,January,158,,,,,,,,,,
1995,January,159,,,,,,,,,,
1995,January,160,,,,,,,,,,
1995,February,161,,,,,,,,,,
1995,February,162,,,,,,,,,,
1995,February,163,,,,,,,,,,
1995,February,164,,,,,,,,,,
1995,March,165,,,,,,,,,,
1995,March,166,,,,,,,,,,
1995,March,167,,,,,,,,,,
1995,March,168,,,,,,,,,,
1995,April,169,,,,,,,,,,
1995,April,170,,,,,,,,,,
1995,April,171,,,,,,,,,,
1995,April,172,Jamie,England,51.5074,-0.1278,,,,,,
1995,April,173,,England,51.5074,-0.1278,,,,,,
1995,May,174,,England,51.5074,-0.1278,,,,,,
1995,May,175,,England,51.5074,-0.1278,,,,,,
1995,May,176,,England,51.5074,-0.1278,,,,,,
1995,May,177,,England,51.5074,-0.1278,,,,,,
1995,June,178,,England,51.5074,-0.1278,,,,,,
1995,June,179,,England,51.5074,-0.1278,,,,,,
1995,June,180,,England,51.5074,-0.1278,,,,,,
1995,June,181,,England,51.5074,-0.1278,,,,,,
1995,July,182,,England,51.5074,-0.1278,,,,,,
1995,July,183,,England,51.5074,-0.1278,,,,,,
1995,July,184,,England,51.5074,-0.1278,,,,,,
1995,July,185,,England,51.5074,-0.1278,,,,,,
1995,July,186,,England,51.5074,-0.1278,,,,,,
1995,August,187,,England,51.5074,-0.1278,,,,,,
1995,August,188,,England,51.5074,-0.1278,,,,,,
1995,August,189,,England,51.5074,-0.1278,,,,,,
1995,August,190,,England,51.5074,-0.1278,,,,,,
1995,September,191,,England,51.5074,-0.1278,,,,,,
1995,September,192,,England,51.5074,-0.1278,,,,,,
1995,September,193,,England,51.5074,-0.1278,,,,,,
1995,September,194,,England,51.5074,-0.1278,,,,,,
1995,October,195,,England,51.5074,-0.1278,,,,,,
1995,October,196,,England,51.5074,-0.1278,,,,,,
1995,October,197,,England,51.5074,-0.1278,,,,,,
1995,October,198,,England,51.5074,-0.1278,,,,,,
1995,October,199,,England,51.5074,-0.1278,,,,,,
1995,November,200,,England,51.5074,-0.1278,,,,,,
1995,November,201,,England,51.5074,-0.1278,,,,,,
1995,November,202,,England,51.5074,-0.1278,,,,,,
1995,November,203,,England,51.5074,-0.1278,,,,,,
1995,December,204,,England,51.5074,-0.1278,,,,,,
1995,December,205,,England,51.5074,-0.1278,,,,,,
1995,December,206,,England,51.5074,-0.1278,,,,,,
1995,December,207,,England,51.5074,-0.1278,,,,,,
1995,December,208,,England,51.5074,-0.1278,,,,,,
1996,January,209,,England,51.5074,-0.1278,,,,,,
1996,January,210,,England,51.5074,-0.1278,,,,,,
1996,January,211,,England,51.5074,-0.1278,,,,,,
1996,January,212,,England,51.5074,-0.1278,,,,,,
1996,February,213,,England,51.5074,-0.1278,,,,,,
1996,February,214,,England,51.5074,-0.1278,,,,,,
1996,February,215,,England,51.5074,-0.1278,,,,,,
1996,February,216,,England,51.5074,-0.1278,,,,,,
1996,March,217,,England,51.5074,-0.1278,,,,,,
1996,March,218,,England,51.5074,-0.1278,,,,,,
1996,March,219,,England,51.5074,-0.1278,,,,,,
1996,March,220,,England,51.5074,-0.1278,,,,,,
1996,March,221,,England,51.5074,-0.1278,,,,,,
1996,April,222,,England,51.5074,-0.1278,,,,,,
1996,April,223,,England,51.5074,-0.1278,,,,,,
1996,April,224,,England,51.5074,-0.1278,,,,,,
1996,April,225,,England,51.5074,-0.1278,,,,,,
1996,May,226,,England,51.5074,-0.1278,,,,,,
1996,May,227,,England,51.5074,-0.1278,,,,,,
1996,May,228,,England,51.5074,-0.1278,,,,,,
1996,May,229,,England,51.5074,-0.1278,,,,,,
1996,June,230,,England,51.5074,-0.1278,,,,,,
1996,June,231,,England,51.5074,-0.1278,,,,,,
1996,June,232,,England,51.5074,-0.1278,,,,,,
1996,June,233,,England,51.5074,-0.1278,,,,,,
1996,June,234,,England,51.5074,-0.1278,,,,,,
1996,July,235,,England,51.5074,-0.1278,,,,,,
1996,July,236,,England,51.5074,-0.1278,,,,,,
1996,July,237,,England,51.5074,-0.1278,,,,,,
1996,July,238,,England,51.5074,-0.1278,,,,,,
1996,August,239,,Florida,28.5383,-81.3792,,,,,,
1996,August,240,,Florida,28.5383,-81.3792,,,,,,
1996,August,241,,England,51.5074,-0.1278,,,,,,
1996,August,242,,England,51.5074,-0.1278,,,,,,
1996,September,243,,England,51.5074,-0.1278,,,,,,
1996,September,244,,England,51.5074,-0.1278,,,,,,
1996,September,245,,England,51.5074,-0.1278,,,,,,
1996,September,246,,England,51.5074,-0.1278,,,,,,
1996,September,247,,England,51.5074,-0.1278,,,,,,
1996,October,248,,England,51.5074,-0.1278,,,,,,
1996,October,249,,England,51.5074,-0.1278,,,,,,
1996,October,250,,England,51.5074,-0.1278,,,,,,
1996,October,251,,England,51.5074,-0.1278,,,,,,
1996,November,252,,England,51.5074,-0.1278,,,,,,
1996,November,253,,England,51.5074,-0.1278,,,,,,
1996,November,254,,England,51.5074,-0.1278,,,,,,
1996,November,255,,England,51.5074,-0.1278,,,,,,
1996,December,256,,England,51.5074,-0.1278,,,,,,
1996,December,257,,England,51.5074,-0.1278,,,,,,
1996,December,258,,England,51.5074,-0.1278,,,,,,
1996,December,259,,England,51.5074,-0.1278,,,,,,
1996,December,260,,England,51.5074,-0.1278,,,,,,
1997,January,261,,England,51.5074,-0.1278,,,,,,
1997,January,262,,England,51.5074,-0.1278,,,,,,
1997,January,263,,England,51.5074,-0.1278,,,,,,
1997,January,264,,England,51.5074,-0.1278,,,,,,
1997,February,265,,England,51.5074,-0.1278,,,,,,
1997,February,266,,England,51.5074,-0.1278,,,,,,
1997,February,267,,England,51.5074,-0.1278,,,,,,
1997,February,268,,England,51.5074,-0.1278,,,,,,
1997,March,269,,England,51.5074,-0.1278,,,,,,
1997,March,270,,England,51.5074,-0.1278,,,,,,
1997,March,271,,England,51.5074,-0.1278,,,,,,
1997,March,272,,England,51.5074,-0.1278,,,,,,
1997,March,273,,England,51.5074,-0.1278,,,,,,
1997,April,274,,England,51.5074,-0.1278,,,,,,
1997,April,275,,England,51.5074,-0.1278,,,,,,
1997,April,276,,England,51.5074,-0.1278,,,,,,
1997,April,277,,England,51.5074,-0.1278,,,,,,
1997,May,278,,England,51.5074,-0.1278,,,,,,
1997,May,279,,England,51.5074,-0.1278,,,,,,
1997,May,280,,England,51.5074,-0.1278,,,,,,
1997,May,281,,Cyprus,35.1264,33.4299,,,,,,
1997,June,282,,England,51.5074,-0.1278,,,,,,
1997,June,283,,England,51.5074,-0.1278,,,,,,
1997,June,284,,England,51.5074,-0.1278,,,,,,
1997,June,285,,England,51.5074,-0.1278,,,,,,
1997,June,286,,England,51.5074,-0.1278,,,,,,
1997,July,287,,England,51.5074,-0.1278,,,,,,
1997,July,288,Antoine,England,51.5074,-0.1278,,,,,,
1997,July,289,,England,51.5074,-0.1278,,,,,,
1997,July,290,,England,51.5074,-0.1278,,,,,,
1997,August,291,,England,51.5074,-0.1278,,,,,,
1997,August,292,,England,51.5074,-0.1278,,,,,,
1997,August,293,,England,51.5074,-0.1278,,,,,,
1997,August,294,,England,51.5074,-0.1278,,,,,,
1997,August,295,,England,51.5074,-0.1278,,,,,,
1997,September,296,,England,51.5074,-0.1278,,,,,,
1997,September,297,,England,51.5074,-0.1278,,,,,,
1997,September,298,,England,51.5074,-0.1278,,,,,,
1997,September,299,,England,51.5074,-0.1278,,,,,,
1997,October,300,,England,51.5074,-0.1278,,,,,,
1997,October,301,,England,51.5074,-0.1278,,,,,,
1997,October,302,,England,51.5074,-0.1278,,,,,,
1997,October,303,,England,51.5074,-0.1278,,,,,,
1997,November,304,,England,51.5074,-0.1278,,,,,,
1997,November,305,,England,51.5074,-0.1278,,,,,,
1997,November,306,,England,51.5074,-0.1278,,,,,,
1997,November,307,,England,51.5074,-0.1278,,,,,,
1997,November,308,,England,51.5074,-0.1278,,,,,,
